Date,UNITED KINGDOM MID CAP Mid Cap
1994-05-31,170.786
1994-06-30,168.958
1994-07-29,179.419
1994-08-31,191.462
1994-09-30,179.297
1994-10-31,189.663
1994-11-30,181.044
1994-12-30,184.56
1995-01-31,181.93
1995-02-28,182.453
1995-03-31,190.437
1995-04-28,196.169
1995-05-31,200.79
1995-06-30,200.048
1995-07-31,215.551
1995-08-31,215.635
1995-09-29,223.636
1995-10-31,221.263
1995-11-30,216.564
1995-12-29,224.227
1996-01-31,223.466
1996-02-29,232.316
1996-03-29,241.703
1996-04-30,250.831
1996-05-31,257.142
1996-06-28,250.404
1996-07-31,246.358
1996-08-30,258.309
1996-09-30,259.473
1996-10-31,273.801
1996-11-29,284.537
1996-12-31,297.138
1997-01-31,284.591
1997-02-28,295.561
1997-03-31,292.687
1997-04-30,286.786
1997-05-30,292.184
1997-06-30,297.328
1997-07-31,295.9
1997-08-29,301.691
1997-09-30,316.756
1997-10-31,316.002
1997-11-28,318.037
1997-12-31,319.56
1998-01-30,321.847
1998-02-27,341.887
1998-03-31,374.627
1998-04-30,383.027
1998-05-29,397.87
1998-06-30,382.005
1998-07-31,378.065
1998-08-31,336.151
1998-09-30,315.55
1998-10-30,333.795
1998-11-30,340.043
1998-12-31,342.801
1999-01-29,361.176
1999-02-26,366.775
1999-03-31,378.326
1999-04-30,398.335
1999-05-31,381.429
1999-06-30,389.145
1999-07-30,407.686
1999-08-31,402.708
1999-09-30,389.103
1999-10-29,385.478
1999-11-30,424.652
1999-12-31,449.946
2000-01-31,428.511
2000-02-29,438.617
2000-03-31,442.577
2000-04-28,417.517
2000-05-31,401.374
2000-06-30,432.134
2000-07-31,434.271
2000-08-31,437.087
2000-09-29,417.802
2000-10-31,406.209
2000-11-30,385.303
2000-12-29,417.396
2001-01-31,420.518
2001-02-28,408.665
2001-03-30,373.512
2001-04-30,400.109
2001-05-31,402.531
2001-06-29,385.096
2001-07-31,378.771
2001-08-31,380.889
2001-09-28,326.138
2001-10-31,342.379
2001-11-30,355.842
2001-12-31,368.767
2002-01-31,352.163
2002-02-28,348.703
2002-03-29,378.511
2002-04-30,378.411
2002-05-31,378.501
2002-06-28,360.168
2002-07-31,334.764
2002-08-30,336.25
2002-09-30,309.86
2002-10-31,324.59
2002-11-29,325.243
2002-12-31,317.057
2003-01-31,294.483
2003-02-28,277.936
2003-03-31,276.884
2003-04-30,309.234
2003-05-30,337.861
2003-06-30,342.306
2003-07-31,351.802
2003-08-29,353.845
2003-09-30,360.463
2003-10-31,399.264
2003-11-28,411.349
2003-12-31,435.012
2004-01-30,456.728
