Date,IRELAND GROWTH Standard (Large+Mid Cap)
1990-12-31,100.0
1991-01-31,95.586
1991-02-28,113.085
1991-03-29,106.575
1991-04-30,101.256
1991-05-31,101.615
1991-06-28,93.366
1991-07-31,105.725
1991-08-30,104.631
1991-09-30,106.323
1991-10-31,102.984
1991-11-29,99.834
1991-12-31,107.821
1992-01-31,114.29
1992-02-28,111.046
1992-03-31,108.039
1992-04-30,110.071
1992-05-29,102.686
1992-06-30,102.936
1992-07-31,102.025
1992-08-31,101.117
1992-09-30,87.364
1992-10-30,77.064
1992-11-30,82.978
1992-12-31,83.065
1993-01-29,87.812
1993-02-26,86.152
1993-03-31,90.243
1993-04-30,92.033
1993-05-31,92.893
1993-06-30,91.788
1993-07-30,90.006
1993-08-31,93.949
1993-09-30,94.46
1993-10-29,99.33
1993-11-30,99.43
1993-12-31,103.249
1994-01-31,114.294
1994-02-28,110.872
1994-03-31,108.814
1994-04-29,116.533
1994-05-31,108.761
1994-06-30,104.028
1994-07-29,114.891
1994-08-31,120.282
1994-09-30,115.796
1994-10-31,114.967
1994-11-30,108.46
1994-12-30,112.626
1995-01-31,116.147
1995-02-28,118.613
1995-03-31,122.713
1995-04-28,125.854
1995-05-31,129.639
1995-06-30,134.905
1995-07-31,139.573
1995-08-31,139.252
1995-09-29,143.227
1995-10-31,142.551
1995-11-30,146.242
1995-12-29,152.725
1996-01-31,154.672
1996-02-29,162.553
1996-03-29,172.303
1996-04-30,175.096
1996-05-31,184.965
1996-06-28,191.705
1996-07-31,180.069
1996-08-30,187.959
1996-09-30,197.867
1996-10-31,200.127
1996-11-29,206.83
1996-12-31,206.407
1997-01-31,202.318
1997-02-28,210.052
1997-03-31,204.588
1997-04-30,195.459
1997-05-30,197.761
1997-06-30,202.234
1997-07-31,199.093
1997-08-29,208.028
1997-09-30,219.578
1997-10-31,218.406
1997-11-28,217.961
1997-12-31,231.116
1998-01-30,245.772
1998-02-27,283.463
1998-03-31,269.228
1998-04-30,295.265
1998-05-29,284.751
1998-06-30,296.202
1998-07-31,311.777
1998-08-31,274.326
1998-09-30,286.523
1998-10-30,282.546
1998-11-30,299.723
1998-12-31,345.138
1999-01-29,367.62
1999-02-26,336.21
1999-03-31,335.814
1999-04-30,321.922
1999-05-31,272.954
1999-06-30,275.683
1999-07-30,280.084
1999-08-31,278.54
1999-09-30,259.132
1999-10-29,249.06
1999-11-30,252.935
1999-12-31,269.489
2000-01-31,258.373
2000-02-29,256.862
2000-03-31,272.739
2000-04-28,236.338
2000-05-31,226.62
2000-06-30,218.363
2000-07-31,208.113
2000-08-31,199.509
2000-09-29,200.811
2000-10-31,210.879
2000-11-30,196.01
2000-12-29,205.988
2001-01-31,208.512
2001-02-28,211.088
2001-03-30,199.096
