Date,UNITED KINGDOM SMID VALUE SMID (Small+Mid Cap)
1994-05-31,167.433
1994-06-30,164.361
1994-07-29,172.154
1994-08-31,180.193
1994-09-30,171.492
1994-10-31,178.349
1994-11-30,169.584
1994-12-30,170.571
1995-01-31,168.772
1995-02-28,169.137
1995-03-31,180.747
1995-04-28,184.884
1995-05-31,191.035
1995-06-30,187.913
1995-07-31,201.094
1995-08-31,198.143
1995-09-29,204.3
1995-10-31,200.626
1995-11-30,196.144
1995-12-29,203.067
1996-01-31,206.009
1996-02-29,210.937
1996-03-29,216.619
1996-04-30,225.645
1996-05-31,230.724
1996-06-28,226.994
1996-07-31,220.091
1996-08-30,229.875
1996-09-30,229.756
1996-10-31,239.988
1996-11-29,249.622
1996-12-31,260.429
1997-01-31,251.368
1997-02-28,260.308
1997-03-31,259.919
1997-04-30,259.741
1997-05-30,262.3
1997-06-30,264.533
1997-07-31,261.452
1997-08-29,266.017
1997-09-30,279.994
1997-10-31,282.26
1997-11-28,282.523
1997-12-31,281.532
1998-01-30,279.538
1998-02-27,297.957
1998-03-31,325.746
1998-04-30,330.829
1998-05-29,338.563
1998-06-30,316.652
1998-07-31,297.117
1998-08-31,266.284
1998-09-30,252.951
1998-10-30,263.932
1998-11-30,263.817
1998-12-31,260.34
1999-01-29,262.017
1999-02-26,271.31
1999-03-31,285.619
1999-04-30,312.05
1999-05-31,304.52
1999-06-30,311.492
1999-07-30,327.464
1999-08-31,328.729
1999-09-30,313.19
1999-10-29,299.138
1999-11-30,303.968
1999-12-31,312.869
2000-01-31,293.984
2000-02-29,278.549
2000-03-31,294.591
2000-04-28,288.369
2000-05-31,283.861
2000-06-30,305.479
2000-07-31,304.673
2000-08-31,305.049
2000-09-29,298.368
2000-10-31,296.183
2000-11-30,298.125
2000-12-29,321.639
2001-01-31,324.587
2001-02-28,322.525
2001-03-30,298.852
2001-04-30,317.315
2001-05-31,325.128
2001-06-29,312.769
2001-07-31,308.886
2001-08-31,316.543
2001-09-28,267.355
2001-10-31,277.024
2001-11-30,292.291
2001-12-31,304.704
2002-01-31,292.751
2002-02-28,296.377
2002-03-29,321.872
2002-04-30,334.746
2002-05-31,337.46
2002-06-28,325.019
2002-07-31,297.449
2002-08-30,298.184
2002-09-30,275.476
2002-10-31,284.263
2002-11-29,285.247
2002-12-31,284.219
2003-01-31,268.517
2003-02-28,259.494
2003-03-31,256.435
2003-04-30,286.943
2003-05-30,318.21
2003-06-30,325.628
2003-07-31,337.796
2003-08-29,343.735
2003-09-30,350.362
2003-10-31,379.983
2003-11-28,388.627
2003-12-31,413.759
2004-01-30,431.904
2004-02-27,463.962
2004-03-31,457.423
2004-04-30,441.453
2004-05-31,455.377
2004-06-30,465.828
2004-07-30,457.147
2004-08-31,459.638
2004-09-30,474.747
2004-10-29,488.299
2004-11-30,525.177
2004-12-31,557.974
2005-01-31,564.867
2005-02-28,585.293
2005-03-31,570.669
2005-04-29,551.396
2005-05-31,552.425
2005-06-30,560.707
2005-07-29,565.271
2005-08-31,581.374
2005-09-30,588.042
2005-10-31,569.647
2005-11-30,597.665
2005-12-30,625.069
2006-01-31,673.715
2006-02-28,684.498
2006-03-31,707.237
2006-04-28,732.025
2006-05-31,718.278
2006-06-30,729.024
2006-07-31,738.499
