Date,UNITED KINGDOM MID VALUE Mid Cap
2001-01-01,352.124
2001-01-02,352.452
2001-01-03,352.872
2001-01-04,353.279
2001-01-05,354.202
2001-01-08,356.993
2001-01-09,356.072
2001-01-10,355.662
2001-01-11,356.48
2001-01-12,351.443
2001-01-15,351.273
2001-01-16,347.364
2001-01-17,352.427
2001-01-18,352.912
2001-01-19,351.005
2001-01-22,348.475
2001-01-23,351.386
2001-01-24,348.82
2001-01-25,350.629
2001-01-26,350.224
2001-01-29,352.005
2001-01-30,353.28
2001-01-31,352.485
2001-02-01,358.52
2001-02-02,355.015
2001-02-05,355.329
2001-02-06,353.961
2001-02-07,354.004
2001-02-08,351.252
2001-02-09,349.431
2001-02-12,351.78
2001-02-13,352.759
2001-02-14,355.798
2001-02-15,353.956
2001-02-16,351.896
2001-02-19,351.658
2001-02-20,349.642
2001-02-21,350.829
2001-02-22,352.521
2001-02-23,352.107
2001-02-26,350.338
2001-02-27,351.659
2001-02-28,351.88
2001-03-01,354.324
2001-03-02,357.66
2001-03-05,356.862
2001-03-06,356.883
2001-03-07,355.052
2001-03-08,355.518
2001-03-09,354.134
2001-03-12,350.945
2001-03-13,341.479
2001-03-14,334.856
2001-03-15,339.2
2001-03-16,332.589
2001-03-19,331.117
2001-03-20,331.477
2001-03-21,326.514
2001-03-22,317.814
2001-03-23,321.509
2001-03-26,325.915
2001-03-27,330.218
2001-03-28,327.886
2001-03-29,328.63
2001-03-30,326.654
2001-04-02,325.569
2001-04-03,323.736
2001-04-04,325.711
2001-04-05,327.245
2001-04-06,329.265
2001-04-09,332.496
2001-04-10,333.994
2001-04-11,333.011
2001-04-12,333.649
2001-04-13,333.649
2001-04-16,332.248
2001-04-17,332.519
2001-04-18,334.331
2001-04-19,336.959
2001-04-20,343.096
2001-04-23,342.087
2001-04-24,340.982
2001-04-25,341.636
2001-04-26,342.43
2001-04-27,344.433
2001-04-30,346.586
2001-05-01,346.599
2001-05-02,347.866
2001-05-03,346.243
2001-05-04,349.505
2001-05-07,350.173
2001-05-08,349.639
2001-05-09,344.913
2001-05-10,347.647
2001-05-11,347.108
2001-05-14,344.477
2001-05-15,346.694
2001-05-16,350.329
2001-05-17,352.218
2001-05-18,354.929
2001-05-21,357.995
2001-05-22,360.041
2001-05-23,357.748
2001-05-24,353.901
2001-05-25,354.82
2001-05-28,354.757
2001-05-29,354.905
2001-05-30,355.146
2001-05-31,354.386
2001-06-01,354.604
2001-06-04,356.155
2001-06-05,354.786
2001-06-06,350.651
2001-06-07,350.676
2001-06-08,348.965
2001-06-11,344.184
2001-06-12,343.244
2001-06-13,343.172
2001-06-14,342.124
2001-06-15,338.784
2001-06-18,339.435
2001-06-19,339.639
2001-06-20,336.571
2001-06-21,342.002
2001-06-22,340.952
2001-06-25,341.271
2001-06-26,339.761
2001-06-27,340.717
2001-06-28,342.358
2001-06-29,343.299
2001-07-02,345.795
2001-07-03,343.701
2001-07-04,342.595
2001-07-05,338.2
2001-07-06,337.782
2001-07-09,338.045
2001-07-10,338.396
2001-07-11,338.527
2001-07-12,338.895
2001-07-13,338.01
2001-07-16,336.555
2001-07-17,335.303
2001-07-18,336.822
2001-07-19,337.522
2001-07-20,340.313
2001-07-23,338.495
2001-07-24,333.994
2001-07-25,332.318
2001-07-26,332.354
2001-07-27,335.345
2001-07-30,339.289
2001-07-31,342.485
2001-08-01,347.784
2001-08-02,351.342
2001-08-03,350.013
2001-08-06,346.969
2001-08-07,344.651
2001-08-08,340.827
2001-08-09,340.386
2001-08-10,342.696
2001-08-13,342.468
2001-08-14,342.952
2001-08-15,346.986
2001-08-16,347.475
2001-08-17,347.407
2001-08-20,348.828
2001-08-21,351.856
2001-08-22,352.944
2001-08-23,351.101
2001-08-24,353.854
2001-08-27,352.998
2001-08-28,352.976
2001-08-29,353.152
2001-08-30,348.849
2001-08-31,348.697
2001-09-03,347.401
2001-09-04,348.628
2001-09-05,345.912
2001-09-06,340.595
2001-09-07,337.288
2001-09-10,331.977
2001-09-11,319.838
2001-09-12,319.48
2001-09-13,321.846
2001-09-14,313.102
2001-09-17,308.189
2001-09-18,299.28
2001-09-19,296.995
2001-09-20,287.962
2001-09-21,276.081
2001-09-24,284.293
2001-09-25,290.991
2001-09-26,291.955
2001-09-27,291.033
2001-09-28,296.056
