Date,UNITED KINGDOM IMI GROWTH IMI (Large+Mid+Small Cap)
1994-05-31,260.396
1994-06-30,259.244
1994-07-29,272.353
1994-08-31,289.915
1994-09-30,276.757
1994-10-31,290.612
1994-11-30,278.9
1994-12-30,278.833
1995-01-31,275.765
1995-02-28,276.94
1995-03-31,299.168
1995-04-28,303.867
1995-05-31,310.399
1995-06-30,315.867
1995-07-31,334.315
1995-08-31,332.051
1995-09-29,347.319
1995-10-31,350.596
1995-11-30,351.629
1995-12-29,359.237
1996-01-31,359.27
1996-02-29,365.09
1996-03-29,370.683
1996-04-30,382.618
1996-05-31,390.863
1996-06-28,390.845
1996-07-31,386.035
1996-08-30,411.116
1996-09-30,421.189
1996-10-31,444.417
1996-11-29,465.77
1996-12-31,479.397
1997-01-31,467.451
1997-02-28,487.384
1997-03-31,492.425
1997-04-30,497.581
1997-05-30,516.901
1997-06-30,525.56
1997-07-31,538.872
1997-08-29,530.466
1997-09-30,569.907
1997-10-31,555.406
1997-11-28,561.868
1997-12-31,590.756
1998-01-30,622.566
1998-02-27,673.589
1998-03-31,707.449
1998-04-30,708.382
1998-05-29,708.033
1998-06-30,715.875
1998-07-31,701.795
1998-08-31,655.207
1998-09-30,623.011
1998-10-30,662.472
1998-11-30,693.059
1998-12-31,735.536
1999-01-29,754.496
1999-02-26,755.839
1999-03-31,773.293
1999-04-30,761.097
1999-05-31,723.985
1999-06-30,726.179
1999-07-30,742.584
1999-08-31,742.605
1999-09-30,742.77
1999-10-29,785.493
1999-11-30,840.482
1999-12-31,923.031
2000-01-31,916.012
2000-02-29,955.89
2000-03-31,957.669
2000-04-28,875.807
2000-05-31,812.103
2000-06-30,817.113
2000-07-31,838.833
2000-08-31,851.765
2000-09-29,796.035
2000-10-31,783.073
2000-11-30,685.713
2000-12-29,737.039
2001-01-31,722.925
2001-02-28,632.025
2001-03-30,568.182
2001-04-30,611.489
2001-05-31,576.416
2001-06-29,548.102
2001-07-31,540.498
2001-08-31,519.88
2001-09-28,486.187
