Date,WORLD Standard (Large+Mid Cap)
2004-01-30,2241.827
2004-02-27,2279.367
2004-03-31,2264.242
2004-04-30,2217.867
2004-05-31,2238.074
2004-06-30,2284.019
2004-07-30,2209.446
2004-08-31,2219.157
2004-09-30,2261.138
2004-10-29,2316.469
2004-11-30,2438.156
2004-12-31,2531.228
2005-01-31,2474.239
2005-02-28,2552.618
2005-03-31,2503.068
2005-04-29,2448.528
2005-05-31,2492.032
2005-06-30,2513.595
2005-07-29,2601.399
2005-08-31,2621.001
2005-09-30,2689.078
2005-10-31,2623.838
2005-11-30,2711.263
2005-12-30,2771.33
2006-01-31,2895.079
2006-02-28,2890.769
2006-03-31,2954.334
2006-04-28,3044.03
2006-05-31,2940.049
2006-06-30,2939.187
2006-07-31,2957.53
2006-08-31,3034.299
2006-09-29,3070.479
2006-10-31,3183.174
2006-11-30,3261.124
2006-12-29,3327.426
2007-01-31,3366.707
2007-02-28,3349.188
2007-03-30,3410.496
2007-04-30,3560.942
2007-05-31,3660.68
2007-06-29,3632.444
2007-07-31,3551.999
2007-08-31,3549.304
2007-09-28,3718.093
2007-10-31,3832.133
2007-11-30,3675.491
2007-12-31,3628.073
2008-01-31,3350.817
2008-02-29,3331.423
2008-03-31,3299.491
2008-04-30,3472.906
2008-05-30,3525.863
2008-06-30,3244.649
2008-07-31,3165.368
2008-08-29,3120.898
2008-09-30,2749.711
2008-10-31,2228.363
2008-11-28,2084.124
2008-12-31,2150.99
2009-01-30,1962.551
2009-02-27,1761.666
2009-03-31,1894.511
2009-04-30,2107.036
2009-05-29,2297.946
2009-06-30,2287.579
2009-07-31,2481.33
2009-08-31,2583.697
2009-09-30,2686.679
2009-10-30,2638.88
2009-11-30,2746.712
2009-12-31,2796.035
2010-01-29,2680.472
2010-02-26,2718.258
2010-03-31,2886.601
2010-04-30,2887.006
2010-05-31,2610.465
2010-06-30,2520.962
2010-07-30,2725.344
2010-08-31,2623.593
2010-09-30,2868.232
2010-10-29,2975.147
2010-11-30,2910.915
2010-12-31,3124.941
2011-01-31,3195.539
2011-02-28,3307.424
2011-03-31,3274.807
2011-04-29,3413.929
2011-05-31,3343.106
2011-06-30,3290.219
2011-07-29,3230.56
2011-08-31,3002.944
2011-09-30,2743.578
2011-10-31,3027.365
2011-11-30,2953.45
2011-12-30,2951.809
2012-01-31,3099.94
2012-02-29,3251.368
2012-03-30,3293.169
2012-04-30,3255.772
2012-05-31,2974.721
2012-06-29,3126.299
2012-07-31,3166.489
2012-08-31,3246.765
2012-09-28,3335.965
2012-10-31,3313.422
2012-11-30,3355.85
2012-12-31,3418.961
2013-01-31,3593.121
2013-02-28,3599.054
2013-03-29,3683.356
2013-04-30,3799.348
2013-05-31,3800.783
2013-06-28,3707.13
2013-07-31,3902.295
2013-08-30,3819.235
2013-09-30,4010.245
2013-10-31,4167.22
2013-11-29,4241.278
2013-12-31,4331.022
2014-01-31,4170.608
2014-02-28,4379.393
2014-03-31,4385.731
2014-04-30,4430.671
2014-05-30,4517.844
2014-06-30,4598.664
2014-07-31,4525.273
2014-08-29,4624.988
2014-09-30,4499.461
2014-10-31,4528.568
2014-11-28,4619.324
2014-12-31,4544.837
2015-01-30,4462.486
2015-02-27,4723.937
2015-03-31,4649.991
2015-04-30,4759.045
2015-05-29,4775.439
2015-06-30,4664.399
2015-07-31,4748.125
2015-08-31,4433.92
2015-09-30,4270.377
2015-10-30,4608.78
2015-11-30,4585.848
2015-12-31,4505.241
2016-01-29,4235.718
2016-02-29,4204.194
2016-03-31,4489.486
2016-04-29,4560.526
2016-05-31,4586.14
2016-06-30,4534.751
2016-07-29,4726.337
2016-08-31,4730.265
2016-09-30,4755.392
2016-10-31,4663.361
2016-11-30,4730.416
2016-12-30,4843.607
2017-01-31,4960.508
2017-02-28,5098.13
2017-03-31,5152.435
2017-04-28,5228.726
2017-05-31,5339.337
2017-06-30,5359.88
2017-07-31,5488.155
2017-08-31,5495.883
2017-09-29,5619.234
2017-10-31,5725.429
2017-11-30,5849.485
2017-12-29,5928.591
2018-01-31,6241.621
2018-02-28,5983.047
2018-03-30,5852.638
2018-04-30,5919.891
2018-05-31,5956.988
2018-06-29,5954.146
2018-07-31,6140.115
2018-08-31,6216.086
2018-09-28,6250.698
2018-10-31,5791.723
2018-11-30,5857.516
2018-12-31,5412.122
2019-01-31,5833.217
2019-02-28,6008.621
2019-03-29,6087.541
2019-04-30,6303.401
2019-05-31,5939.689
2019-06-28,6331.084
2019-07-31,6362.444
2019-08-30,6232.303
2019-09-30,6364.933
2019-10-31,6526.904
2019-11-29,6708.68
2019-12-31,6909.66
2020-01-31,6867.603
2020-02-28,6287.117
2020-03-31,5455.063
2020-04-30,6050.997
2020-05-29,6343.31
2020-06-30,6511.097
2020-07-31,6822.597
2020-08-31,7278.444
2020-09-30,7027.344
2020-10-30,6811.78
2020-11-30,7682.745
2020-12-31,8008.468
2021-01-29,7928.875
2021-02-26,8132.047
2021-03-31,8402.617
2021-04-30,8793.676
2021-05-31,8920.353
2021-06-30,9053.309
2021-07-30,9215.48
2021-08-31,9444.838
2021-09-30,9052.683
2021-10-29,9565.432
2021-11-30,9355.825
2021-12-31,9755.694
2022-01-31,9239.512
2022-02-28,9005.833
2022-03-31,9252.984
2022-04-29,8484.307
2022-05-31,8490.733
2022-06-30,7755.249
2022-07-29,8370.987
2022-08-31,8021.014
2022-09-30,7275.382
2022-10-31,7797.848
2022-11-30,8340.036
2022-12-30,7985.857
2023-01-31,8550.905
2023-02-28,8345.354
2023-03-31,8603.223
2023-04-28,8754.033
2023-05-31,8666.638
2023-06-30,9190.777
2023-07-31,9499.521
2023-08-31,9272.618
2023-09-29,8872.612
2023-10-31,8615.166
2023-11-30,9422.856
2023-12-29,9885.464
2024-01-31,10004.094
2024-02-29,10428.244
2024-03-29,10763.354
2024-04-30,10363.552
2024-05-31,10826.306
2024-06-28,11046.598
2024-07-31,11241.266
2024-08-30,11538.378
2024-09-30,11749.691
2024-10-31,11516.614
2024-11-29,12045.072
2024-12-31,11731.17
2025-01-31,12145.147
2025-02-28,12057.736
2025-03-31,11520.919
2025-04-30,11623.306
2025-05-30,12311.311
2025-06-30,12842.581
2025-07-31,13007.899
2025-08-29,13347.216
2025-09-30,13776.274
2025-10-31,14052.148
