Date,UNITED KINGDOM LARGE GROWTH Large Cap
1994-05-31,276.751
1994-06-30,277.177
1994-07-29,291.326
1994-08-31,311.706
1994-09-30,296.972
1994-10-31,312.303
1994-11-30,300.001
1994-12-30,298.383
1995-01-31,295.32
1995-02-28,298.135
1995-03-31,326.49
1995-04-28,330.717
1995-05-31,338.134
1995-06-30,346.073
1995-07-31,365.268
1995-08-31,360.518
1995-09-29,377.114
1995-10-31,381.865
1995-11-30,385.457
1995-12-29,393.231
1996-01-31,393.983
1996-02-29,395.664
1996-03-29,398.47
1996-04-30,409.121
1996-05-31,415.499
1996-06-28,419.376
1996-07-31,416.802
1996-08-30,445.935
1996-09-30,458.8
1996-10-31,482.355
1996-11-29,508.063
1996-12-31,521.375
1997-01-31,507.474
1997-02-28,530.58
1997-03-31,539.511
1997-04-30,553.196
1997-05-30,578.849
1997-06-30,591.095
1997-07-31,613.815
1997-08-29,597.353
1997-09-30,648.753
1997-10-31,625.438
1997-11-28,634.962
1997-12-31,675.502
1998-01-30,715.6
1998-02-27,776.824
1998-03-31,806.478
1998-04-30,803.875
1998-05-29,792.655
1998-06-30,808.387
1998-07-31,788.2
1998-08-31,751.998
1998-09-30,719.1
1998-10-30,771.943
1998-11-30,810.733
1998-12-31,866.233
1999-01-29,877.844
1999-02-26,876.297
1999-03-31,891.851
1999-04-30,870.903
1999-05-31,826.255
1999-06-30,825.99
1999-07-30,837.528
1999-08-31,836.79
1999-09-30,838.671
1999-10-29,890.531
1999-11-30,926.904
1999-12-31,1008.651
2000-01-31,985.978
2000-02-29,1005.718
2000-03-31,1026.951
2000-04-28,950.0
2000-05-31,886.085
2000-06-30,874.947
2000-07-31,900.028
2000-08-31,908.047
2000-09-29,845.721
2000-10-31,845.544
2000-11-30,749.957
2000-12-29,803.065
2001-01-31,781.274
2001-02-28,674.588
2001-03-30,612.207
2001-04-30,658.633
2001-05-31,612.495
2001-06-29,588.872
2001-07-31,586.956
2001-08-31,558.706
2001-09-28,543.178
2001-10-31,548.296
2001-11-30,553.117
2001-12-31,562.717
2002-01-31,517.76
2002-02-28,512.565
2002-03-29,517.229
2002-04-30,497.741
2002-05-31,462.942
2002-06-28,452.682
2002-07-31,426.12
2002-08-30,416.477
2002-09-30,387.487
2002-10-31,423.484
2002-11-29,440.361
2002-12-31,441.982
2003-01-31,410.419
2003-02-28,399.748
2003-03-31,405.25
2003-04-30,455.987
2003-05-30,465.676
2003-06-30,475.425
2003-07-31,466.24
2003-08-29,455.55
2003-09-30,480.797
2003-10-31,507.111
2003-11-28,522.815
2003-12-31,558.26
2004-01-30,551.2
2004-02-27,569.276
2004-03-31,548.191
2004-04-30,549.797
2004-05-31,554.719
2004-06-30,547.215
2004-07-30,539.562
2004-08-31,545.245
2004-09-30,557.584
2004-10-29,572.628
2004-11-30,604.799
2004-12-31,619.636
2005-01-31,607.449
2005-02-28,641.236
2005-03-31,629.59
2005-04-29,636.163
2005-05-31,627.623
2005-06-30,633.912
2005-07-29,649.61
2005-08-31,675.318
2005-09-30,702.834
2005-10-31,682.941
2005-11-30,682.482
2005-12-30,701.478
2006-01-31,751.054
2006-02-28,737.873
2006-03-31,760.792
2006-04-28,815.049
2006-05-31,795.674
2006-06-30,805.25
2006-07-31,820.711
2006-08-31,833.927
2006-09-29,811.809
2006-10-31,845.917
2006-11-30,863.976
2006-12-29,880.09
2007-01-31,886.441
2007-02-28,908.528
2007-03-30,944.784
2007-04-30,986.465
2007-05-31,1000.0
2007-06-29,1010.56
2007-07-31,995.011
2007-08-31,992.199
2007-09-28,1058.859
2007-10-31,1115.481
2007-11-30,1109.572
2007-12-31,1076.562
2008-01-31,991.878
2008-02-29,1017.09
2008-03-31,986.641
2008-04-30,1054.776
2008-05-30,1068.178
2008-06-30,1021.101
2008-07-31,975.657
2008-08-29,928.851
2008-09-30,776.879
2008-10-31,630.727
2008-11-28,565.447
2008-12-31,560.714
2009-01-30,547.883
2009-02-27,508.522
2009-03-31,527.026
2009-04-30,570.306
2009-05-29,653.513
2009-06-30,648.823
2009-07-31,709.985
2009-08-31,719.187
2009-09-30,747.829
2009-10-30,766.059
2009-11-30,795.645
2009-12-31,825.857
2010-01-29,785.984
2010-02-26,775.931
2010-03-31,837.387
2010-04-30,810.959
2010-05-31,731.672
2010-06-30,725.618
2010-07-30,810.594
2010-08-31,796.406
2010-09-30,868.4
2010-10-29,902.79
2010-11-30,861.489
2010-12-31,924.736
2011-01-31,921.505
2011-02-28,956.233
2011-03-31,943.813
2011-04-29,1005.862
2011-05-31,977.75
2011-06-30,952.168
2011-07-29,946.449
2011-08-31,880.816
2011-09-30,786.438
2011-10-31,878.538
2011-11-30,850.621
2011-12-30,849.412
2012-01-31,876.903
2012-02-29,922.606
2012-03-30,911.407
2012-04-30,928.862
2012-05-31,817.095
2012-06-29,867.8
2012-07-31,880.624
2012-08-31,894.783
2012-09-28,908.307
2012-10-31,906.247
2012-11-30,917.61
2012-12-31,929.294
2013-01-31,965.911
2013-02-28,960.426
2013-03-29,975.215
2013-04-30,998.746
2013-05-31,997.01
2013-06-28,945.894
2013-07-31,998.111
2013-08-30,990.877
2013-09-30,1045.326
2013-10-31,1088.801
2013-11-29,1093.861
2013-12-31,1124.393
2014-01-31,1038.822
2014-02-28,1111.784
2014-03-31,1093.575
2014-04-30,1137.58
2014-05-30,1167.509
2014-06-30,1187.777
2014-07-31,1150.19
2014-08-29,1166.646
2014-09-30,1119.746
2014-10-31,1083.482
2014-11-28,1110.792
2014-12-31,1064.075
2015-01-30,1076.433
2015-02-27,1150.708
2015-03-31,1075.834
2015-04-30,1147.486
2015-05-29,1136.687
2015-06-30,1111.918
2015-07-31,1153.581
2015-08-31,1066.796
2015-09-30,1067.561
2015-10-30,1163.24
2015-11-30,1148.161
2015-12-31,1107.673
2016-01-29,1063.22
2016-02-29,1049.308
2016-03-31,1101.934
2016-04-29,1113.795
2016-05-31,1127.024
2016-06-30,1095.916
2016-07-29,1121.482
2016-08-31,1111.427
2016-09-30,1127.147
2016-10-31,1031.636
